Id,SalePrice
1461,109780.58291972312
1462,174288.73969637905
1463,170700.88963556802
1464,198719.01792961033
1465,195878.9066916299
1466,173041.07966888044
1467,181958.08736261958
1468,164043.98355961242
1469,199222.97767821955
1470,100235.54821563396
1471,209692.68029214628
1472,107586.09158724919
1473,87132.27289519669
1474,151433.7408087158
1475,98126.00243446603
1476,338078.8882396668
1477,252895.05395199568
1478,298752.8112778221
1479,287813.51965780905
1480,427468.95713710366
1481,309104.34787609614
1482,225464.3150887331
1483,172726.38596495893
1484,178909.96726058167
1485,192676.5897853251
1486,207226.4760116418
1487,306801.93865538784
1488,261680.83394605038
1489,188526.74045875994
1490,230698.83216652484
1491,213608.69934765692
1492,67715.62492297147
1493,213057.5502230723
1494,297130.34016176173
1495,275938.675713398
1496,233731.02848836617
1497,173972.2285749989
1498,175072.59287142009
1499,154603.92420326849
1500,158008.78218037635
1501,202038.3143630321
1502,150025.02538811602
1503,277665.02425698936
1504,241025.84251273703
1505,220389.01113159163
1506,198292.8135784627
1507,244061.32769037713
1508,203651.46531731565
1509,139895.7863154055
1510,143573.74443904846
1511,141062.80441249977
1512,183074.22429229552
1513,153995.7774107156
1514,148099.00278505613
1515,201187.7547081944
1516,157961.27675084933
1517,174903.6485564122
1518,103460.1275001145
1519,239733.9906820897
1520,116065.8883743377
1521,109576.83742569806
1522,178707.47721940395
1523,71670.86338464543
1524,109957.96009014337
1525,79826.4537840269
1526,80268.75768178375
1527,60827.608828148106
1528,128295.06975913863
1529,118362.67938893312
1530,226396.179654605
1531,126272.24914775696
1532,67095.42177973199
1533,157498.79771864507
1534,141027.9723438397
1535,128207.57788545103
1536,68165.59232431673
1537,34899.03029416199
1538,169462.5847358224
1539,209345.06155758537
1540,93517.11054309038
1541,137126.6620533259
1542,113420.07198646315
1543,198449.67794854264
1544,81355.36715249834
1545,100449.16448199819
1546,102126.61592855351
1547,148342.01379749225
1548,118614.38568046317
1549,97112.00582927978
1550,109280.31463813013
1551,106868.61231516208
1552,99307.52350555873
1553,133701.75389799615
1554,83629.36083260621
1555,158596.2777295988
1556,73930.53057132266
1557,83223.89128975105
1558,94390.91455793916
1559,59744.76029279176
1560,88798.68737207935
1561,106051.25792102073
1562,113639.65773913707
1563,89430.5164649731
1564,145524.74054711917
1565,110809.31023671455
1566,249467.3189171753
1567,57203.09894555062
1568,243197.02654781076
1569,115845.178015674
1570,119962.3195454632
1571,91133.16114504705
1572,124963.39026131155
1573,253042.60304086003
1574,95718.25044909096
1575,261553.66685609822
1576,261704.3012495404
1577,192413.46444336884
1578,138754.50058776094
1579,142455.26556304167
1580,191201.251128986
1581,142165.26665612822
1582,106284.49259321415
1583,306769.1582997227
1584,220373.9777069746
1585,153693.8185928273
1586,49579.489698460326
1587,95464.25198937464
1588,146186.78051600954
1589,97853.35497495043
1590,130356.1694034785
1591,49188.98358884035
1592,129177.39672067901
1593,114017.38136673928
1594,114954.14975424274
1595,75969.73431553273
1596,197975.50715364888
1597,144039.24361700285
1598,199513.86214079848
1599,195746.1061899711
1600,190314.02455656487
1601,17922.09114103415
1602,90697.56642030203
1603,13748.354771015467
1604,267598.9680687599
1605,244391.26955625066
1606,170729.60385138798
1607,158577.68770276895
1608,216537.2591936707
1609,184560.68089128402
1610,135609.53309279447
1611,136383.70531777665
1612,168643.04385481495
1613,154422.79748644796
1614,124522.0821681018
1615,51807.872171341674
1616,26171.42789603863
1617,55328.98949355539
1618,89699.70306059881
1619,149939.81162230857
1620,137115.48678973154
1621,112895.67456465447
1622,120791.52786720428
1623,243777.1481730009
1624,220647.39828898082
1625,112707.19049372477
1626,187730.74673302379
1627,184537.40286242403
1628,283586.2762969127
1629,179997.25918963435
1630,333443.20441519446
1631,209374.34986662003
1632,231298.2443060577
1633,176132.43330312078
1634,185619.29930764134
1635,181010.30452993093
1636,153144.04155229055
1637,192960.66074388335
1638,217389.40842849994
1639,187745.78245238587
1640,276793.8551445652
1641,176825.38584655244
1642,245001.99732304644
1643,210475.4060720345
1644,229620.68275690847
1645,251172.64335697424
1646,156797.12100673094
